,Fin_CH4,Tin_CH4,Fin_H2O,Conversion,HeatDuty,Fout,Tout,H2,CO,H2O,CO2,CH4,C2H6,C3H8,C4H10,N2,O2,Ar
1031,762.8012119,662.0628852,231.6145344,0.873703155,69971149.98,3445.540153,1030.328797,0.44283173,0.193408909,0.020458005,0.011368598,0.02603138,3.65E-07,1.95E-11,9.83E-16,0.30226623,1.00E-20,0.003634783
514,745.9682642,682.8630821,264.6224378,0.898727919,69562169.4,3465.688668,1030.191354,0.445269786,0.18984865,0.026278786,0.014263542,0.020294167,2.20E-07,9.14E-12,3.56E-16,0.300431238,1.00E-20,0.003613612
88,845.7658043,824.6768941,330.3069996,0.871405454,81826234.99,3775.303084,1029.588064,0.463598088,0.194257262,0.023320929,0.012469336,0.026820783,3.67E-07,1.93E-11,9.49E-16,0.276215694,1.00E-20,0.00331754
279,698.7431268,843.6358076,310.3037297,0.934172571,56967023.17,3421.689802,1029.274239,0.439622309,0.179651572,0.039733154,0.020744206,0.012515107,8.41E-08,2.17E-12,5.24E-17,0.304073613,1.00E-20,0.003659954
669,821.758718,776.6736677,223.9606216,0.82814134,69784066.29,3534.949895,1029.247874,0.44412357,0.196615558,0.015095487,0.008538926,0.03719487,7.36E-07,5.57E-11,3.96E-15,0.294887841,1.00E-20,0.003543013
487,704.9353708,873.5534749,305.0442947,0.930228474,56327337.26,3429.467885,1029.164191,0.440708526,0.181047738,0.037917439,0.019909513,0.013352161,9.54E-08,2.61E-12,6.72E-17,0.303412858,1.00E-20,0.00365167
459,802.0409933,888.6726533,226.0763091,0.842950724,62086866.15,3505.077667,1029.146839,0.443847766,0.195677405,0.016714164,0.009419004,0.033456881,5.95E-07,4.05E-11,2.59E-15,0.297311033,1.00E-20,0.003573153
637,789.5509621,886.1349717,308.652256,0.89162017,68970350.9,3624.586141,1029.03606,0.455169696,0.19074385,0.026823587,0.014374539,0.021979654,2.50E-07,1.09E-11,4.47E-16,0.287453095,1.00E-20,0.003455328
1032,652.1670842,760.9286812,298.6007885,0.948148853,51153383.61,3289.958115,1028.924308,0.427147401,0.173091448,0.046339612,0.02402352,0.009569246,5.05E-08,1.02E-12,1.94E-17,0.316022367,1.00E-20,0.003806356
100,639.089346,647.2018058,234.5402051,0.938490298,50085019.97,3175.60015,1028.723429,0.420885915,0.177763048,0.037998038,0.020547963,0.011524715,7.42E-08,1.83E-12,4.24E-17,0.32733688,1.00E-20,0.003943367
893,721.6906871,648.1359703,227.7003628,0.894516736,63843586.4,3353.300622,1028.674882,0.436779634,0.189513621,0.024717676,0.013734135,0.021135516,2.40E-07,1.05E-11,4.29E-16,0.310384536,1.00E-20,0.003734641
911,823.0797465,783.453914,263.8999714,0.850033442,74069325.38,3612.065501,1028.466495,0.45157452,0.195318724,0.018802617,0.010423261,0.031814955,5.26E-07,3.33E-11,1.98E-15,0.288598011,1.00E-20,0.003467386
551,877.62259,610.7713305,343.553348,0.857897574,97812690.8,3856.455881,1028.310399,0.466924387,0.195304145,0.022051706,0.011828854,0.030107278,4.55E-07,2.63E-11,1.43E-15,0.270535361,1.00E-20,0.003247814
644,747.0480449,829.9979741,254.789496,0.890877691,61259012.85,3448.041116,1028.022502,0.443231855,0.18995945,0.025280776,0.013910635,0.022011027,2.55E-07,1.14E-11,4.75E-16,0.301973894,1.00E-20,0.003632108
302,795.7201269,620.9107274,300.1409453,0.88299051,81786808.42,3620.946412,1027.82161,0.454313141,0.191433637,0.025356931,0.013728666,0.023939219,2.94E-07,1.39E-11,6.14E-16,0.287769297,1.00E-20,0.003458816
1022,804.7572994,851.1330162,341.500327,0.894564247,75104381.14,3705.367805,1027.73776,0.459672885,0.18958691,0.029271482,0.015517255,0.021319262,2.30E-07,9.56E-12,3.72E-16,0.281251928,1.00E-20,0.003380048
726,746.2966415,772.7327093,263.7268051,0.894530464,64527324.46,3459.90432,1027.640626,0.444006424,0.18915253,0.026558273,0.014547901,0.021179959,2.35E-07,1.00E-11,4.02E-16,0.300935024,1.00E-20,0.003619654
137,875.8306312,776.5257439,309.8532355,0.840621571,84905311.54,3789.566009,1027.349209,0.461246546,0.196126395,0.019209988,0.010514911,0.034293416,5.92E-07,3.93E-11,2.45E-15,0.275303023,1.00E-20,0.003305128
484,780.2111266,711.5685494,255.3475889,0.870481526,71189040.16,3513.841539,1027.272275,0.446523535,0.19252138,0.021956457,0.012190009,0.026773942,3.73E-07,1.99E-11,1.00E-15,0.296470117,1.00E-20,0.003564187
910,673.9287296,675.7748556,313.5183374,0.941690394,59047125.78,3361.347495,1027.133826,0.43295208,0.174816025,0.044867426,0.023340574,0.010884074,6.35E-08,1.42E-12,2.99E-17,0.309414172,1.00E-20,0.003725584
872,824.2871882,614.4984996,333.3234949,0.880227266,88768700,3731.191873,1026.934964,0.46064487,0.191573777,0.026298775,0.014102215,0.024634262,3.05E-07,1.45E-11,6.47E-16,0.279389092,1.00E-20,0.003356704
99,693.5075031,729.0186506,284.024266,0.926272619,58990030.32,3369.810186,1026.741922,0.436093206,0.180717083,0.036890679,0.019726365,0.014126198,1.06E-07,3.04E-12,8.21E-17,0.308730085,1.00E-20,0.003716278
840,679.1447157,761.3648945,243.6702005,0.920396889,52713338.61,3279.992059,1026.540929,0.430121923,0.182427789,0.033063505,0.018109384,0.015345122,1.26E-07,3.99E-12,1.19E-16,0.317114164,1.00E-20,0.003817987
667,825.9717433,696.2126312,201.4870218,0.805588997,70044045.44,3489.350893,1026.00071,0.437311474,0.196060188,0.013563494,0.00786961,0.04284419,9.64E-07,8.33E-11,6.77E-15,0.298760761,1.00E-20,0.003589319
57,750.9768652,800.2691093,282.9277912,0.897093076,64738776.94,3496.108775,1025.868394,0.445879342,0.187695736,0.02875154,0.015671303,0.020579599,2.18E-07,8.87E-12,3.39E-16,0.297840073,1.00E-20,0.003582189
198,655.6889139,871.8535806,308.173068,0.945386996,46586839.57,3306.608722,1025.672349,0.427428851,0.171877262,0.047582526,0.024793687,0.010082354,5.45E-08,1.13E-12,2.21E-17,0.314448064,1.00E-20,0.003787202
35,803.8457316,860.5803267,247.3209976,0.848980502,64917142.35,3540.348967,1025.651131,0.446109791,0.193919723,0.019286888,0.010864841,0.031923482,5.23E-07,3.29E-11,1.95E-15,0.294357186,1.00E-20,0.003537566
167,630.4678771,626.6138595,219.5373346,0.93423173,47487572.56,3130.169866,1025.317549,0.416524458,0.177039484,0.037420103,0.020638818,0.012332818,8.34E-08,2.17E-12,5.30E-17,0.332043669,1.00E-20,0.004000567
732,725.5555627,737.754993,225.4886734,0.886145332,59151088.79,3350.861985,1025.170874,0.435298968,0.18894076,0.024586166,0.013855841,0.022951742,2.76E-07,1.28E-11,5.55E-16,0.310628877,1.00E-20,0.00373737
986,659.0034417,782.116455,266.8982607,0.934109566,49071931.96,3261.317125,1024.975065,0.426429983,0.17664185,0.040215526,0.02164594,0.012395608,8.20E-08,2.09E-12,5.00E-17,0.318831215,1.00E-20,0.003839795
81,732.1871763,724.5362183,337.8086045,0.921873445,68350283.53,3530.799044,1024.614234,0.446327904,0.18054048,0.039094853,0.020577667,0.015083375,1.16E-07,3.41E-12,9.47E-17,0.294828649,1.00E-20,0.003546957
597,719.2625437,807.7038552,204.0235006,0.878793212,52979116.4,3301.60341,1024.533765,0.43110459,0.189533929,0.022739018,0.013012912,0.024583299,3.18E-07,1.58E-11,7.40E-16,0.315232829,1.00E-20,0.003793105
120,781.5619268,790.3155131,218.2508204,0.845423731,62573595.13,3444.092311,1024.505484,0.438865679,0.193350724,0.018435409,0.010573394,0.032657433,5.51E-07,3.58E-11,2.18E-15,0.302480449,1.00E-20,0.003636362
623,883.017118,728.9611828,278.7946822,0.814290948,83258898.72,3735.100889,1024.417211,0.45423248,0.196231893,0.016612763,0.009346132,0.040874306,8.33E-07,6.54E-11,4.82E-15,0.27934826,1.00E-20,0.003353334
245,658.5287434,776.5694287,311.4439018,0.943516651,51024247.49,3315.998463,1024.27181,0.427868951,0.171668306,0.047722907,0.024948775,0.010443155,5.77E-08,1.23E-12,2.45E-17,0.313571361,1.00E-20,0.003776488
962,604.9775898,881.4655126,204.0725649,0.939891228,31849851.97,3046.099963,1024.137451,0.4081458,0.173976914,0.039581819,0.021996254,0.011114345,6.84E-08,1.62E-12,3.61E-17,0.34107391,1.00E-20,0.004110891
429,781.2426346,788.0705384,203.2715965,0.836037437,60779134.75,3414.572654,1024.119099,0.435645598,0.193711502,0.017062823,0.009892019,0.03492568,6.33E-07,4.41E-11,2.89E-15,0.305093952,1.00E-20,0.003667793
902,722.8024819,851.8464275,207.7751403,0.877762486,51500758.56,3314.015089,1024.095829,0.431866803,0.18947543,0.022892117,0.013096048,0.024821061,3.22E-07,1.61E-11,7.58E-16,0.314069309,1.00E-20,0.003778911
578,659.66528,704.8595494,310.9326592,0.942759293,54089270.12,3317.919835,1024.043437,0.42808971,0.171861701,0.047443412,0.024840251,0.010595308,5.92E-08,1.27E-12,2.58E-17,0.313395256,1.00E-20,0.003774304
