,T_in (K),P_in (Pa),Conversion,F_in (mol/s),Heat Duty (W),F_out (mol/s),T_out (K),H2,H2O,CO2,CO,CH4
147,678.4678285790658,924786.8309466719,0.8211827852492626,309,18137797.14101139,432.1866874165894,1040.2200395670664,0.49216688580805823,0.3342826973543664,0.0646522675639612,0.07786690398822202,0.031031245285392185
148,506.0429856773269,1168164.5076984859,0.584473253102239,309,15204602.62250561,396.6802575945359,969.2447334571332,0.4007425985800744,0.4101726705396027,0.06922501122783892,0.041296429897876005,0.07856328975460802
149,619.0783941365698,958043.6088389066,0.705507904566947,309,16245983.400809791,414.83545531424204,998.0103999751584,0.4516400405323374,0.36755048720116584,0.0689840344122326,0.05858286450491548,0.05324257334934865
150,599.2747769070412,908247.1695697131,0.9450498527268638,309,22570269.643830616,450.7667475382295,1114.5203385417485,0.5272991856597534,0.3063039357718276,0.05557801717336089,0.10167608174684183,0.009142779648216375
151,664.7060102360581,911474.7262059719,0.775384491724475,309,17200198.867401827,425.3169433878712,1020.2700033001539,0.4771516227061248,0.34649476402059093,0.06695985078109884,0.06978526961984442,0.039608492872341035
152,602.3966373398432,853393.3927645754,0.9162747975122645,309,21501134.24083342,446.45048925603965,1084.4955450223408,0.5208087747353584,0.31118563100985774,0.0590289483008406,0.09491150247735304,0.014065143476590358
153,565.6004769921819,1185720.8992282941,0.7316891799396794,309,17831165.7869803,418.762646620152,1024.3127772740236,0.45939308802444023,0.36149308614085945,0.06625853599320507,0.06480107185682049,0.048054217984674595
154,650.2480647115756,959750.4114312019,0.9631882601476123,309,22724402.822351385,453.48750865134184,1142.070619648245,0.5305796907980037,0.3040217517513929,0.05268922105226873,0.1066212293694557,0.0060881070288790326
155,649.9057298976466,1176914.6973556508,0.7383640934779293,309,16901866.158920623,419.7638836508894,1026.2596561267815,0.4618624179444746,0.3594509854373625,0.06608772768859902,0.06585189103692768,0.046746977892636335
156,640.3464834584984,1076944.49851827,0.9273504331082218,309,21745987.900687136,448.11183459543327,1113.8325877509737,0.5215073852796193,0.31110989022590835,0.055878425406850216,0.0993450185325737,0.012159280555048503
157,567.0554490392458,1075722.908584265,0.7418827215653069,309,17904527.467831906,420.29167786399603,1020.456802717,0.4639306140101042,0.35760718056628144,0.06676925882807376,0.06563256305193307,0.04606038354360749
158,646.2694572833915,990028.2519628603,0.9549724646608682,309,22489926.496613044,452.25513932833024,1133.7939376048994,0.5286837768861326,0.30546696407792595,0.0535784970040528,0.10480359392971872,0.007467168102169847
159,512.7154921270566,881564.8114075233,0.8375665122433822,309,20556407.472078685,434.64424646570734,1043.6034673775773,0.4977862971363997,0.329644572217768,0.06420764796030945,0.08033278638778522,0.02802869629773765
160,602.3152265097704,1116721.5027717787,0.7115480543302293,309,16815760.786276415,415.7414777787344,1012.0392908157918,0.4525438154296315,0.36704074910900775,0.0674527894398961,0.06092575030246981,0.05203689571899483
161,506.1693158018006,1090496.5872358575,0.5402950067913403,309,14128092.445971703,390.053520647901,947.9647727506722,0.3811775980689035,0.42652525350846354,0.06951171097186377,0.03439276140626195,0.08839267604450736
162,551.9042154192564,1156890.064360306,0.5529576076273178,309,13925832.846638966,391.9529107732976,956.9145180796756,0.3866375600053904,0.421997156841545,0.06921304727327958,0.0366108902069025,0.0855413456728826
163,520.1823273346006,904620.5656040049,0.6844072544634247,309,16918657.92010674,411.6703577987137,986.1165341691432,0.4440957856208885,0.37370460167472946,0.07003039729005127,0.054673076897560624,0.057496138516770094
164,556.7973434773849,1080138.18380055,0.5052641124901235,309,12718682.80043962,384.7988865027185,934.0505959420369,0.3643985145250496,0.4406784168702025,0.06895996390056743,0.029535612669380627,0.09642749203479986
165,538.2571950637044,851847.2056286117,0.6802781588061623,309,16522670.734756656,411.05099345012434,980.1878184779762,0.443011433935097,0.3745144182146776,0.0706425839131869,0.05349540012371006,0.05833616381332839
166,555.6778105569349,1119863.3264060665,0.8590786281563071,309,20955867.829365112,437.871063852646,1074.006417207664,0.502131599005714,0.3265709896219709,0.06069413649228188,0.08646579752475018,0.024137477355283123
167,500.0588312036811,1169523.751154812,0.9162260784961401,309,23297820.60438452,446.443181403621,1112.6213957431466,0.5178988004480791,0.3140928552045395,0.05613596869535415,0.09779881741548847,0.014073558236538726
